LATITUDE,LONGITUDE,ACUMULADO 24
-14.05706,-52.16182,3.6
-14.46452,-56.84153,0
-16.19154,-55.96536,6.8
-15.89114,-52.25498,8.6
-16.09949,-57.70939,0
-13.6557,-57.89973,0
-15.46445,-55.73732,10.2
-13.65223,-59.78413,17.2
-10.63265,-51.58387,9.6
-15.61462,-55.99056,0.2
-12.38858,-54.93564,2.8
-10.64537,-55.70692,0
-14.78521,-57.27809,4.4
-14.46402,-54.06773,31.2
-10.24788,-54.98265,0
-15.2243,-59.32018,0
-15.82148,-54.40745,11.6
-16.48967,-54.6168,45
-10.4695,-50.50941,0
-15.86396,-56.07458,0.4
-13.46313,-56.72118,23
-10.0182,-51.11016,8.6
-14.65,-57.43167,12.2
-12.555,-55.72278,0
-9.9525,-54.89778,0.2
-17.33944,-53.22444,0
-9.56333,-57.39361,19.4
-13.30389,-58.76333,4.4
-15.53139,-55.13556,0
-11.28028,-57.52667,0
-12.60306,-52.1625,25.4
-11.98222,-55.56611,0
-9.90639,-58.57222,39.2
-11.375,-58.77472,2.2
-11.61889,-50.72778,0
-15.06278,-59.87306,0
-15.58,-54.38111,0
-10.07722,-56.17917,25.2
-9.97056,-55.8275,7.4
-12.52194,-58.23139,71.6
-13.03861,-57.09222,11.4
-13.18472,-53.2575,0
-14.92778,-53.88361,9.6
-16.34167,-53.76611,0
-17.175,-54.50167,0
-17.84111,-53.28944,0
-15.32472,-57.22583,0
-15.12472,-58.12722,0
-10.48417,-52.3725,0
-11.98778,-51.42611,0
-14.82889,-56.44194,1
-14.82889,-56.44194,5.8
-14.82889,-56.44194,0
-14.82889,-56.44194,5.2
-14.82889,-56.44194,0
